AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,41.0,0.1707317073170731,0.3170731707317073,1.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,4.0,1.0,0.0,0
9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,271.0,0.1217712177121771,0.1697416974169741,33.0,0.26,1.0,57.0,0.0,1.0,25.0,10.75,10.25,94371841.0,2.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,45.0,0.1333333333333333,0.2,2.0,1.29,2.0,5.0,0.0,1.0,0.0,4.0,2.0,1.5,1.0,0
2.0,1.0,0.125,2.25,0.9886363636363636,0.1363636363636363,0.034090909090909,0.7159090909090909,2049.0,0.1088335773548072,0.1825280624694973,15.0,0.51,1.375,15.5,0.125,1.0,42.5,5.965909090909091,4.875,16.15909090909091,4.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8,53.0,0.1320754716981132,0.2830188679245283,2.0,0.77,2.0,4.0,1.0,3.0,0.0,2.4,1.6,1.0,0.0,0
9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,323.0,0.0340557275541795,0.2167182662538699,26.0,0.2,2.0,6.75,0.0,2.0,0.0,3.8,14.8,357.0,6.0,0
4.0,3.0,14.0,0.0,0.0,0.0714285714285714,0.0,0.9285714285714286,293.0,0.0716723549488054,0.2184300341296928,9.0,0.3,1.0,29.0,0.0,1.0,0.0,7.928571428571429,4.571428571428571,3.857142857142857,2.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,100.0,0.19,0.31,2.0,0.49,2.0,13.0,2.0,3.0,0.0,6.25,3.5,1.5,1.0,0
2.0,1.0,0.5,1.0,0.9302325581395348,0.0465116279069767,0.0,0.9302325581395348,495.0,0.1494949494949495,0.2303030303030303,8.0,0.08,2.2,10.0,0.0,2.0,11.2,2.902439024390244,3.0,2.7804878048780486,3.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75,90.0,0.1777777777777777,0.3111111111111111,1.0,0.57,1.0,8.0,1.5,2.0,0.0,0.25,1.625,1.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,39.0,0.1025641025641025,0.2307692307692307,2.0,0.94,2.0,3.0,0.0,4.0,0.0,1.0,2.0,1.5,1.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,82.0,0.1707317073170731,0.3536585365853658,1.0,0.48,1.0,10.0,0.0,3.0,77.0,0.6666666666666666,1.2222222222222223,1.0,0.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,49.0,0.2244897959183673,0.2244897959183673,0.0,2.17,0.0,0.0,4.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,51.0,0.1372549019607843,0.2745098039215686,1.0,0.69,1.0,9.0,0.0,3.0,0.0,3.333333333333333,5.333333333333333,1.0,0.0,0
1.0,1.0,0.5,1.0,0.9210526315789472,0.0526315789473684,0.0,0.9210526315789472,387.0,0.165374677002584,0.268733850129199,5.0,0.1,2.2,9.6,0.0,2.0,14.0,2.4166666666666665,2.6944444444444446,1.7777777777777777,3.0,0
1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,1.0,225.0,0.1022222222222222,0.1777777777777777,4.0,0.35,1.0,1.6666666666666667,1.3333333333333333,3.0,26.33333333333333,4.7,2.4,1.8,1.0,0
1.0,1.0,3.0,1.0,0.8421052631578947,0.0789473684210526,0.0,0.8421052631578947,400.0,0.1225,0.1875,5.0,0.53,1.0,10.0,0.5,1.0,43.0,7.026315789473684,2.421052631578948,1.8157894736842104,2.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,66.0,0.106060606060606,0.1666666666666666,4.0,0.94,2.0,7.0,0.0,1.0,33.0,2.6666666666666665,5.0,2.333333333333333,1.0,0
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,43.0,0.1860465116279069,0.1860465116279069,1.0,1.92,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0
