File,Version,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestBucketIdResolverImpl.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestBucketIdResolverImpl.java,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,55.0,9.0,28.0,18.0,13.0,18.0,17.0,20.0,15.0,7.0,1.0,1.0,1.0,0.64,2.0,2.0,2.0,2.0,1.0,9.0,0.0,1.0,50.0,3.5,4.0,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestGroupingValidator.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestGroupingValidator.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,8.0,8.0,1.0,8.0,0.0,0.0,0.0,8.0,87.0,13.0,57.0,24.0,25.0,17.0,31.0,40.0,16.0,25.0,1.0,1.0,1.0,0.3,8.0,8.0,8.0,8.0,1.0,5.0,0.0,1.0,0.0,1.0,3.25,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestMetaStorePartitionHelper.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestMetaStorePartitionHelper.java,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,0.0,11.0,6.0,6.0,7.0,6.0,0.0,0.0,0.0,6.0,129.0,21.0,91.0,63.0,36.0,17.0,65.0,72.0,51.0,34.0,1.0,1.0,1.0,0.19,6.0,6.0,6.0,6.0,1.0,20.0,0.0,1.0,61.0,4.833333333333333,5.833333333333333,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestMutatorCoordinator.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestMutatorCoordinator.java,1.0,1.0,1.0,1.0,11.0,1.0,9.0,0.0,1.0,0.0,12.0,14.0,14.0,10.0,14.0,0.0,0.0,0.0,14.0,261.0,48.0,195.0,84.0,109.0,24.0,136.0,151.0,61.0,100.0,1.0,1.0,1.0,0.12,14.0,14.0,14.0,14.0,1.0,25.0,0.0,1.0,55.0,9.0,9.428571428571429,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestMutatorImpl.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestMutatorImpl.java,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,5.0,7.0,7.0,6.0,7.0,0.0,0.0,0.0,7.0,116.0,16.0,83.0,55.0,27.0,17.0,54.0,62.0,43.0,23.0,1.0,1.0,1.0,0.2,7.0,7.0,7.0,7.0,1.0,17.0,0.0,1.0,54.0,4.571428571428571,5.142857142857143,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestRecordInspectorImpl.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestRecordInspectorImpl.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,48.0,8.0,23.0,18.0,7.0,17.0,14.0,17.0,15.0,5.0,1.0,1.0,1.0,0.74,2.0,2.0,2.0,2.0,1.0,9.0,0.0,1.0,50.0,1.0,3.0,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestSequenceValidator.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestSequenceValidator.java,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,11.0,11.0,1.0,11.0,0.0,0.0,0.0,11.0,108.0,17.0,73.0,30.0,33.0,18.0,38.0,50.0,19.0,32.0,1.0,1.0,1.0,0.25,11.0,11.0,11.0,11.0,1.0,5.0,0.0,1.0,0.0,1.9090909090909092,3.8181818181818183,1.0,0.0
hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestWarehousePartitionHelper.java,2.3.7,hcatalog\streaming\src\test\org\apache\hive\hcatalog\streaming\mutate\worker\TestWarehousePartitionHelper.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,6.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,5.0,74.0,14.0,43.0,30.0,15.0,17.0,27.0,33.0,26.0,15.0,1.0,1.0,1.0,0.4,5.0,5.0,5.0,5.0,1.0,12.0,0.0,1.0,30.0,2.8,2.4,1.0,0.0
hcatalog\webhcat\java-client\src\main\java\org\apache\hive\hcatalog\api\ConnectionFailureException.java,2.3.7,hcatalog\webhcat\java-client\src\main\java\org\apache\hive\hcatalog\api\ConnectionFailureException.java,1.0,1.0,1.0,1.0,7.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,5.0,8.0,5.0,2.0,26.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,30.0,2.0,1.0,0.0
hcatalog\webhcat\java-client\src\main\java\org\apache\hive\hcatalog\api\HCatAddPartitionDesc.java,2.3.7,hcatalog\webhcat\java-client\src\main\java\org\apache\hive\hcatalog\api\HCatAddPartitionDesc.java,1.0,1.0,1.0,1.0,7.0,0.0,4.0,3.0,2.0,2.0,1.0,14.0,12.0,10.0,14.0,2.0,4.0,0.0,8.0,174.0,23.0,83.0,39.0,29.0,74.0,38.0,54.0,28.0,27.0,2.0,2.0,2.0,0.89,19.0,19.0,19.0,14.0,1.0,8.5,0.0,1.0,43.5,5.142857142857143,2.7857142857142856,1.0,0.0
