Name,Version,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Handle.java,2.3.5,2.0,2.0,2.0,2.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,7.0,7.0,1.0,7.0,0.0,0.0,0.0,7.0,78.0,14.0,47.0,17.0,21.0,17.0,19.0,32.0,14.0,18.0,7.0,7.0,7.0,0.36,13.0,13.0,13.0,12.0
HandleIdentifier.java,2.3.5,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,9.0,9.0,2.0,9.0,0.0,0.0,0.0,9.0,113.0,13.0,79.0,27.0,43.0,21.0,40.0,59.0,24.0,38.0,10.0,10.0,10.0,0.27,20.0,20.0,20.0,18.0
Handler.java,2.3.5,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,7.0,3.0,1.0,0.0,0.0,2.0,41.0,4.0,17.0,10.0,5.0,20.0,13.0,15.0,10.0,5.0,1.0,1.0,1.0,1.18,1.0,1.0,1.0,1.0
HarOutputCommitterPostProcessor.java,2.3.5,1.0,1.0,1.0,1.0,11.0,0.0,7.0,3.0,1.0,1.0,0.0,7.0,6.0,1.0,7.0,0.0,0.0,0.0,7.0,125.0,20.0,64.0,37.0,31.0,42.0,34.0,45.0,31.0,23.0,4.0,4.0,5.0,0.66,10.0,10.0,11.0,7.0
HashCodeUtil.java,2.3.5,2.0,2.0,2.0,1.0,16.0,2.0,14.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,132.0,21.0,87.0,19.0,63.0,32.0,63.0,77.0,21.0,56.0,6.0,6.0,6.0,0.37,13.0,13.0,13.0,6.0
HashMapWrapper.java,2.3.5,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,1.0,4.0,24.0,23.0,11.0,24.0,0.0,1.0,0.0,23.0,259.0,33.0,199.0,93.0,80.0,29.0,99.0,135.0,72.0,70.0,5.0,5.0,5.0,0.15,35.0,35.0,36.0,24.0
HashTableDummyDesc.java,2.3.5,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,39.0,6.0,12.0,7.0,2.0,21.0,5.0,8.0,6.0,2.0,1.0,1.0,1.0,1.75,2.0,2.0,2.0,2.0
HashTableDummyOperator.java,2.3.5,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,10.0,9.0,0.0,10.0,0.0,0.0,2.0,8.0,90.0,13.0,59.0,31.0,19.0,18.0,26.0,38.0,24.0,16.0,2.0,2.0,3.0,0.31,11.0,11.0,13.0,10.0
HashTableLoader.java,2.3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,37.0,4.0,12.0,11.0,0.0,21.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0
HashTableLoader.java,2.3.5,6.0,6.0,8.0,2.0,33.0,1.0,30.0,1.0,1.0,0.0,1.0,4.0,4.0,5.0,4.0,0.0,2.0,0.0,2.0,207.0,17.0,163.0,78.0,86.0,27.0,97.0,123.0,70.0,75.0,12.0,12.0,15.0,0.17,26.0,26.0,32.0,8.0
HashTableLoader.java,2.3.5,8.0,8.0,9.0,4.0,51.0,5.0,44.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,0.0,2.0,0.0,2.0,274.0,29.0,216.0,88.0,133.0,32.0,125.0,162.0,83.0,102.0,22.0,22.0,24.0,0.15,34.0,34.0,36.0,16.0
HashTableLoader.java,2.3.5,4.0,4.0,5.0,3.0,23.0,1.0,21.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0,2.0,159.0,15.0,122.0,62.0,59.0,22.0,79.0,100.0,59.0,58.0,6.0,6.0,7.0,0.18,18.0,18.0,20.0,12.0
HashTableLoaderFactory.java,2.3.5,2.0,2.0,2.0,2.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,44.0,5.0,18.0,8.0,6.0,21.0,8.0,13.0,8.0,5.0,3.0,3.0,3.0,1.17,4.0,4.0,4.0,4.0
